Date,Volume,Open,High,Low,Close,Median
2022-02-28 22:00:00,224358,4373.22,4401.93,4278.6,4313.7,4340.265
2022-03-01 22:00:00,205727,4313.7,4400.68,4281.44,4376.92,4341.06
2022-03-02 22:00:00,163133,4376.92,4420.96,4343.7,4367.69,4382.33
2022-03-03 22:00:00,219614,4367.69,4376.4,4283.72,4324.37,4330.06
2022-03-06 22:00:00,304085,4324.37,4327.11,4187.355,4188.17,4257.2325
2022-03-07 22:00:00,343980,4188.17,4276.57,4140.78,4154.02,4208.675
2022-03-08 22:00:00,255011,4154.02,4299.47,4153.095,4281.11,4226.2825
2022-03-09 22:00:00,235664,4281.11,4282.745,4207.88,4258.32,4245.3125
2022-03-10 22:00:00,235665,4258.32,4336.23,4198.91,4207.86,4267.57
2022-03-13 21:00:00,288674,4207.86,4254.0,4160.96,4179.98,4207.48
2022-03-14 21:00:00,252705,4179.98,4271.55,4138.17,4258.48,4204.86
2022-03-15 21:00:00,279441,4258.48,4375.83,4246.96,4371.4,4311.395
2022-03-16 21:00:00,221208,4371.4,4414.845,4328.815,4392.32,4371.83
2022-03-17 21:00:00,120478,4392.32,4470.83,4370.82,4468.765,4420.825
2022-03-20 21:00:00,145575,4468.765,4483.36,4425.79,4469.29,4454.575
2022-03-21 21:00:00,97883,4469.29,4524.78,4443.5,4515.77,4484.14
2022-03-22 21:00:00,115052,4515.77,4523.6,4454.8,4458.62,4489.2
2022-03-23 21:00:00,108146,4458.62,4526.75,4455.44,4525.59,4491.095
2022-03-24 21:00:00,113551,4525.59,4548.47,4502.96,4545.34,4525.715
2022-03-27 21:00:00,106894,4545.34,4581.41,4519.25,4579.32,4550.33
2022-03-28 21:00:00,122281,4579.32,4639.94,4574.53,4630.44,4607.235
2022-03-29 21:00:00,93051,4630.44,4636.28,4583.51,4610.51,4609.895
2022-03-30 21:00:00,97045,4610.51,4622.665,4534.86,4549.73,4578.7625
2022-03-31 21:00:00,102770,4549.73,4564.01,4510.26,4545.25,4537.135
2022-04-03 21:00:00,69889,4545.25,4588.54,4536.81,4584.58,4562.675
2022-04-04 21:00:00,80939,4584.58,4596.48,4517.45,4534.31,4556.965
2022-04-05 21:00:00,129893,4534.31,4536.59,4452.58,4479.34,4494.585
2022-04-06 21:00:00,124116,4479.34,4523.76,4452.27,4502.48,4488.015
2022-04-07 21:00:00,99903,4502.48,4527.56,4476.97,4491.62,4502.265
2022-04-10 21:00:00,111535,4491.62,4498.9,4411.39,4417.66,4455.145
2022-04-11 21:00:00,133786,4417.66,4474.02,4383.53,4402.49,4428.775
2022-04-12 21:00:00,106119,4402.49,4456.4,4391.3,4445.42,4423.85
2022-04-13 21:00:00,95731,4445.42,4462.72,4392.16,4396.18,4427.44
2022-04-17 21:00:00,89394,4396.18,4413.22,4362.97,4406.4,4388.095
2022-04-18 21:00:00,94361,4406.4,4473.91,4379.1,4448.1,4426.505
2022-04-19 21:00:00,113199,4448.1,4491.02,4439.95,4476.06,4465.485
2022-04-20 21:00:00,137200,4476.06,4515.58,4386.8,4392.09,4451.19
2022-04-21 21:00:00,163529,4392.09,4399.48,4254.235,4258.7,4326.8575
2022-04-24 21:00:00,254195,4258.7,4303.13,4202.12,4300.84,4252.625
2022-04-25 21:00:00,162754,4300.84,4310.1,4143.56,4147.16,4226.83
2022-04-26 21:00:00,277725,4147.16,4242.99,4147.16,4218.38,4195.075
2022-04-27 21:00:00,188036,4218.38,4309.88,4189.36,4266.81,4249.62
2022-04-28 21:00:00,188866,4266.81,4285.67,4124.93,4140.65,4205.3
2022-05-01 21:00:00,278123,4140.65,4171.58,4062.3,4152.33,4116.94
2022-05-02 21:00:00,217123,4152.33,4201.9,4135.4,4180.68,4168.65
2022-05-03 21:00:00,203608,4180.68,4309.14,4149.31,4292.45,4229.225
2022-05-04 21:00:00,273706,4292.45,4306.74,4105.65,4156.99,4206.195
2022-05-05 21:00:00,360382,4156.99,4159.15,4068.255,4114.57,4113.7025
2022-05-08 21:00:00,293094,4114.57,4114.57,3976.16,3995.19,4045.365
2022-05-09 21:00:00,337045,3995.19,4071.66,3959.43,3997.93,4015.545
2022-05-10 21:00:00,330450,3997.93,4056.68,3930.07,3948.72,3993.375
2022-05-11 21:00:00,377042,3948.72,3966.32,3860.03,3914.77,3913.175
2022-05-12 21:00:00,173440,3914.77,4040.35,3914.77,4022.93,3977.56
2022-05-15 21:00:00,202070,4022.93,4047.99,3984.23,4004.5,4016.11
2022-05-16 21:00:00,159172,4004.5,4095.6,4004.5,4094.76,4050.05
2022-05-17 21:00:00,160256,4094.76,4098.17,3909.13,3917.61,4003.65
2022-05-18 21:00:00,298966,3917.61,3946.71,3859.39,3901.61,3903.05
2022-05-19 21:00:00,231347,3901.61,3952.65,3811.07,3906.82,3881.86
2022-05-22 21:00:00,215422,3906.82,3985.37,3906.82,3981.18,3946.095
2022-05-23 21:00:00,216471,3981.18,3981.18,3875.16,3953.24,3928.17
2022-05-24 21:00:00,218515,3953.24,4000.77,3917.03,3972.96,3958.9
2022-05-25 21:00:00,123872,3972.96,4076.79,3963.9,4053.82,4020.345
